LOW,ZERO,LOW,ZERO,0,0,0
LOW,ZERO,LOW,SMALL,-100,-100,100
LOW,ZERO,LOW,MEDIUM,-100,-100,100
LOW,ZERO,LOW,LARGE,-100,-100,100
LOW,ZERO,MEDIUM,ZERO,0,0,0
LOW,ZERO,MEDIUM,SMALL,-100,-100,100
LOW,ZERO,MEDIUM,MEDIUM,-100,-100,100
LOW,ZERO,MEDIUM,LARGE,-100,-100,100
LOW,ZERO,HIGH,ZERO,0,0,0
LOW,ZERO,HIGH,SMALL,-100,-100,100
LOW,ZERO,HIGH,MEDIUM,-100,-100,100
LOW,ZERO,HIGH,LARGE,-100,-100,100
LOW,SMALL,LOW,ZERO,0,0,0
LOW,SMALL,LOW,SMALL,100,0,-100
LOW,SMALL,LOW,MEDIUM,100,-100,-100
LOW,SMALL,LOW,LARGE,100,-100,-100
LOW,SMALL,MEDIUM,ZERO,0,0,0
LOW,SMALL,MEDIUM,SMALL,100,-100,-100
LOW,SMALL,MEDIUM,MEDIUM,100,-100,-100
LOW,SMALL,MEDIUM,LARGE,100,-100,-100
LOW,SMALL,HIGH,ZERO,0,0,0
LOW,SMALL,HIGH,SMALL,100,-100,-100
LOW,SMALL,HIGH,MEDIUM,100,-100,-100
LOW,SMALL,HIGH,LARGE,100,-100,-100
LOW,MEDIUM,LOW,ZERO,0,0,0
LOW,MEDIUM,LOW,SMALL,-100,100,-100
LOW,MEDIUM,LOW,MEDIUM,100,0,-100
LOW,MEDIUM,LOW,LARGE,100,-100,-100
LOW,MEDIUM,MEDIUM,ZERO,0,0,0
LOW,MEDIUM,MEDIUM,SMALL,50,100,-100
LOW,MEDIUM,MEDIUM,MEDIUM,100,-100,-100
LOW,MEDIUM,MEDIUM,LARGE,100,-100,-100
LOW,MEDIUM,HIGH,ZERO,0,0,0
LOW,MEDIUM,HIGH,SMALL,100,0,-100
LOW,MEDIUM,HIGH,MEDIUM,100,-100,-100
LOW,MEDIUM,HIGH,LARGE,100,-100,-100
LOW,LARGE,LOW,ZERO,0,0,0
LOW,LARGE,LOW,SMALL,-100,100,-100
LOW,LARGE,LOW,MEDIUM,-100,100,-100
LOW,LARGE,LOW,LARGE,100,0,-100
LOW,LARGE,MEDIUM,ZERO,0,0,0
LOW,LARGE,MEDIUM,SMALL,-100,100,-100
LOW,LARGE,MEDIUM,MEDIUM,-100,100,-100
LOW,LARGE,MEDIUM,LARGE,100,-100,-100
LOW,LARGE,HIGH,ZERO,0,0,0
LOW,LARGE,HIGH,SMALL,-100,100,-100
LOW,LARGE,HIGH,MEDIUM,-100,100,-100
LOW,LARGE,HIGH,LARGE,100,-100,-100
MEDIUM,ZERO,LOW,ZERO,0,0,0
MEDIUM,ZERO,LOW,SMALL,0,0,100
MEDIUM,ZERO,LOW,MEDIUM,0,0,100
MEDIUM,ZERO,LOW,LARGE,0,0,100
MEDIUM,ZERO,MEDIUM,ZERO,0,0,0
MEDIUM,ZERO,MEDIUM,SMALL,0,0,100
MEDIUM,ZERO,MEDIUM,MEDIUM,0,0,100
MEDIUM,ZERO,MEDIUM,LARGE,0,0,100
MEDIUM,ZERO,HIGH,ZERO,0,0,0
MEDIUM,ZERO,HIGH,SMALL,0,0,100
MEDIUM,ZERO,HIGH,MEDIUM,0,0,100
MEDIUM,ZERO,HIGH,LARGE,0,0,100
MEDIUM,SMALL,LOW,ZERO,0,0,0
MEDIUM,SMALL,LOW,SMALL,-100,100,-100
MEDIUM,SMALL,LOW,MEDIUM,100,0,-100
MEDIUM,SMALL,LOW,LARGE,100,0,-100
MEDIUM,SMALL,MEDIUM,ZERO,0,0,0
MEDIUM,SMALL,MEDIUM,SMALL,100,0,-100
MEDIUM,SMALL,MEDIUM,MEDIUM,100,-100,-100
MEDIUM,SMALL,MEDIUM,LARGE,100,-100,-100
MEDIUM,SMALL,HIGH,ZERO,0,0,0
MEDIUM,SMALL,HIGH,SMALL,100,0,-100
MEDIUM,SMALL,HIGH,MEDIUM,100,-100,-100
MEDIUM,SMALL,HIGH,LARGE,100,-100,-100
MEDIUM,MEDIUM,LOW,ZERO,0,0,0
MEDIUM,MEDIUM,LOW,SMALL,-100,100,-100
MEDIUM,MEDIUM,LOW,MEDIUM,-100,100,-100
MEDIUM,MEDIUM,LOW,LARGE,100,0,-100
MEDIUM,MEDIUM,MEDIUM,ZERO,0,0,0
MEDIUM,MEDIUM,MEDIUM,SMALL,-100,100,-100
MEDIUM,MEDIUM,MEDIUM,MEDIUM,100,0,-100
MEDIUM,MEDIUM,MEDIUM,LARGE,100,-100,-100
MEDIUM,MEDIUM,HIGH,ZERO,0,0,0
MEDIUM,MEDIUM,HIGH,SMALL,-100,100,-100
MEDIUM,MEDIUM,HIGH,MEDIUM,100,-100,-100
MEDIUM,MEDIUM,HIGH,LARGE,100,-100,-100
MEDIUM,LARGE,LOW,ZERO,0,0,0
MEDIUM,LARGE,LOW,SMALL,-100,100,-100
MEDIUM,LARGE,LOW,MEDIUM,-100,100,-100
MEDIUM,LARGE,LOW,LARGE,-100,100,-100
MEDIUM,LARGE,MEDIUM,ZERO,0,0,0
MEDIUM,LARGE,MEDIUM,SMALL,-100,100,-100
MEDIUM,LARGE,MEDIUM,MEDIUM,-100,100,-100
MEDIUM,LARGE,MEDIUM,LARGE,-100,100,-100
MEDIUM,LARGE,HIGH,ZERO,0,0,0
MEDIUM,LARGE,HIGH,SMALL,-100,100,-100
MEDIUM,LARGE,HIGH,MEDIUM,-100,100,-100
MEDIUM,LARGE,HIGH,LARGE,100,0,-100
HIGH,ZERO,LOW,ZERO,0,0,0
HIGH,ZERO,LOW,SMALL,-100,-100,100
HIGH,ZERO,LOW,MEDIUM,-100,-100,100
HIGH,ZERO,LOW,LARGE,-100,-100,100
HIGH,ZERO,MEDIUM,ZERO,0,0,0
HIGH,ZERO,MEDIUM,SMALL,-100,-100,100
HIGH,ZERO,MEDIUM,MEDIUM,-100,-100,100
HIGH,ZERO,MEDIUM,LARGE,-100,-100,100
HIGH,ZERO,HIGH,ZERO,0,0,0
HIGH,ZERO,HIGH,SMALL,-100,-100,100
HIGH,ZERO,HIGH,MEDIUM,-100,-100,100
HIGH,ZERO,HIGH,LARGE,-100,-100,100
HIGH,SMALL,LOW,ZERO,0,0,0
HIGH,SMALL,LOW,SMALL,-100,100,-100
HIGH,SMALL,LOW,MEDIUM,-100,100,-100
HIGH,SMALL,LOW,LARGE,100,0,-100
HIGH,SMALL,MEDIUM,ZERO,0,0,0
HIGH,SMALL,MEDIUM,SMALL,-100,100,-100
HIGH,SMALL,MEDIUM,MEDIUM,100,0,-100
HIGH,SMALL,MEDIUM,LARGE,100,0,-100
HIGH,SMALL,HIGH,ZERO,0,0,0
HIGH,SMALL,HIGH,SMALL,100,0,-100
HIGH,SMALL,HIGH,MEDIUM,100,-100,-100
HIGH,SMALL,HIGH,LARGE,100,-100,-100
HIGH,MEDIUM,LOW,ZERO,0,0,0
HIGH,MEDIUM,LOW,SMALL,-100,100,-100
HIGH,MEDIUM,LOW,MEDIUM,-100,100,-100
HIGH,MEDIUM,LOW,LARGE,-100,100,-100
HIGH,MEDIUM,MEDIUM,ZERO,0,0,0
HIGH,MEDIUM,MEDIUM,SMALL,-100,100,-100
HIGH,MEDIUM,MEDIUM,MEDIUM,-100,100,-100
HIGH,MEDIUM,MEDIUM,LARGE,100,0,-100
HIGH,MEDIUM,HIGH,ZERO,0,0,0
HIGH,MEDIUM,HIGH,SMALL,-100,100,-100
HIGH,MEDIUM,HIGH,MEDIUM,100,-100,-100
HIGH,MEDIUM,HIGH,LARGE,100,-100,-100
HIGH,LARGE,LOW,ZERO,0,0,0
HIGH,LARGE,LOW,SMALL,-100,100,-100
HIGH,LARGE,LOW,MEDIUM,-100,100,-100
HIGH,LARGE,LOW,LARGE,-100,100,-100
HIGH,LARGE,MEDIUM,ZERO,0,0,0
HIGH,LARGE,MEDIUM,SMALL,-100,100,-100
HIGH,LARGE,MEDIUM,MEDIUM,-100,100,-100
HIGH,LARGE,MEDIUM,LARGE,-100,100,-100
HIGH,LARGE,HIGH,ZERO,0,0,0
HIGH,LARGE,HIGH,SMALL,-100,100,-100
HIGH,LARGE,HIGH,MEDIUM,-100,100,-100
HIGH,LARGE,HIGH,LARGE,100,0,-100
